"Ad report (Mar 14, 2014-Oct 19, 2014)",,,,,,,,,,,,,,,,,,,,,,,
Ad state,Ad,Description line 1,Description line 2,Display URL,Destination URL,Campaign,Ad group,Status,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Ad ID,SU,FTE ,FTC,Imp-SU,Clicks-SU,Click-FTC,FTE Conversion%,FTC Conversion%
enabled,Send Newsletter Campaigns,Email Newsletters Get Results. Drag,& Drop Email Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Newsletter Campaign,approved,0,0,0.00%,0,0,0,39301411657,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send eNewsletters Free,"Design, Send & Track your Mass",HTML Email & Newsletters. Use Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,eNewsletter - Free,approved,2,32,6.25%,0.98,1.97,1.8,39148554097,1,#N/A,#N/A,3.13%,50.00%,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,"Create, Send & Track Mass Email",Campaigns & Newsletters. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Marketing,approved,30,1338,2.24%,12.79,383.58,1.5,39148482097,5,#N/A,#N/A,0.37%,16.67%,#N/A,#N/A,#N/A
enabled,Email Marketing Templates,Email Marketing Get Results. Drag,& Drop Email Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Marketing Template,approved,3,36,8.33%,2.92,8.75,2.5,39148775857,1,#N/A,#N/A,2.78%,33.33%,#N/A,#N/A,#N/A
enabled,Effective Email Marketing,"Create, Send & Track Bulk Email",Campaigns & Newsletters. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Effective,approved,0,45,0.00%,0,0,3.6,39149393617,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Email Marketing Software,Email Marketing Gets Results. Drag,& Drop Email Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Marketing Software - Bulk,approved,0,1,0.00%,0,0,3,39148396297,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Custom Sign Up Forms,Easily Capture Online Leads w/ Free,Customizable Sign Up Forms. Try Us!,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - ROW,Sign Up Form - Custom,approved,0,2,0.00%,0,0,1.5,40497383857,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Email Marketing Gets Results. Drag,& Drop Email Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Exact,approved,0,2,0.00%,0,0,7.5,39149615377,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Email Marketing Gets Results. See,How it Increases ROI - Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Exact,approved,0,0,0.00%,0,0,0,39149615737,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Email Marketing Campaign,Email Marketing Gets Results. Drag,& Drop Email Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Marketing Campaign,approved,29,571,5.08%,13.16,381.76,1.2,39148286377,3,#N/A,#N/A,0.53%,10.34%,#N/A,#N/A,#N/A
enabled,Send eNewsletters Free,"Free Templates, Easy Drag & Drop",e-Newsletter Creator. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,eNewsletter - Cheap,approved,2,2,100.00%,2.46,4.92,1.5,39147961657,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Email Marketing Campaign,Trusted by 600k+ for Bulk Email,Campaigns Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Campaign - Bulk,approved,0,3,0.00%,0,0,3,39148667977,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Trusted by 600k+ for Reliable Email,Marketing Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Exact,approved,0,0,0.00%,0,0,0,39149615497,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Email Blast Software,Create and Send Bulk Email Blast,Campaigns & Newsletters. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Blast Management Software,approved,0,6,0.00%,0,0,2.2,39147946417,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Free Bulk Email Software,Create Emails w/ Ease. Drag & Drop,Templates Look Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Software - Bulk,approved,19,543,3.50%,12.1,229.92,5.7,39294347137,3,#N/A,#N/A,,15.79%,#N/A,#N/A,#N/A
enabled,Email Campaign Company,"Create, Send & Track Mass Email",Campaigns & Newsletters. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Campaign Company,approved,2,28,7.14%,2.82,5.63,1.8,39148672057,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Biz Email Management,Quickly Create Business Emails.,Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Management - Business,approved,3,211,1.42%,5.85,17.55,2.2,39147867217,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Send eNewsletters Free,"Design, Send & Track your Bulk",eNewsletters. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,eNewsletter - Best,approved,3,343,0.87%,16.62,49.86,2.3,39148060297,1,#N/A,#N/A,,33.33%,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,"Design, Send & Track your Email",Newsletters. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Newsletter - Nonbrand - Phrase,approved,34,8635,0.39%,4.65,158.22,1.7,39148332217,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Sign Up Form Designer,Easiest Way to Design Sign Up Forms,for Your Website or Newsletter!,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - US,Website Sign Up Form - Design - How To,approved,0,0,0.00%,0,0,0,40497332017,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Free Mass Email Templates,Easily Create Stunning Mass Emails.,Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Template - Mass,approved,15,128,11.72%,7.11,106.72,1.9,39147792937,2,#N/A,#N/A,,13.33%,#N/A,#N/A,#N/A
enabled,Targeted Email Marketing,"Create, Send & Track Targeted Email",Campaigns & Newsletters. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Marketing - Targeted,approved,6,335,1.79%,10.77,64.63,4.4,39148014097,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Become an Email Marketer,Quickly Create Professional Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Marketer,approved,0,25,0.00%,0,0,4.9,39149103097,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Reliable Email Delivery,"Create, Send & Track with Ease.",98% Delivery Rate. Use Us Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Delivery,approved,8,1383,0.58%,3.65,29.17,3,39149257537,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Free Newsletter Templates,Easy Drag & Drop Email Newsletter,Creator. Free Templates. Try Us!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Newsletter Template - Exact,approved,1,115,0.87%,0.95,0.95,6.1,39301602097,1,#N/A,#N/A,,100.00%,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,"Create, Send & Track Mass Email",Campaigns & Newsletters. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Exact,approved,0,1,0.00%,0,0,9,39149616097,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send Email Blasts Free,Create and Send Mass Email Blast,Campaigns & Newsletters. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Blast - Mass,approved,0,8,0.00%,0,0,2,39148578697,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Email Marketing Software,"Email Templates, Easy Drag & Drop",Email Creator. Simple and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Marketing Software,approved,1,119,0.84%,14.1,14.1,1.7,39148277977,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,Create Impressive Email Newsletters,in Minutes. Free Template Designs!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Newsletters - Nonbrand - Phrase,approved,0,27,0.00%,0,0,2.9,39148306657,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,{KeyWord:Mass Email Management},Quickly Create Mass Emails.,Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Management - Mass,approved,0,0,0.00%,0,0,0,39149273017,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Free Email Newsletters,"Design, Send & Track your Mass",HTML Email & Newsletters. Use Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Newsletter - Cheap,approved,0,0,0.00%,0,0,0,39148787617,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Mass Email Service,"Create, Send & Track Mass Email",Campaigns. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,mass email service,approved,112,1790,6.26%,12.96,1451.38,3,39294434257,20,4,#N/A,,17.86%,#N/A,20.00%,#N/A
enabled,Free eNewsletter Tracking,"Design, Send & Track HTML Email",Newsletters. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,eNewsletter Tracking,approved,0,1,0.00%,0,0,1,39301504417,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Advertising $0,Trusted by 600k+ for Reliable Email,Advertising Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Advertising Marketing,approved,1,12,8.33%,17.06,17.06,3,39147823417,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Quickly Create Professional Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Marketing,approved,30,1826,1.64%,11.94,358.22,1.9,39148481977,3,#N/A,#N/A,0.16%,10.00%,#N/A,#N/A,#N/A
enabled,Email Marketing Software,Quickly Create Stunning Bulk Email.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Marketing Software - Bulk,approved,0,33,0.00%,0,0,4,39148031377,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Free HTML Email Creator,"Free Templates, Easy Drag & Drop",HTML Email Creator. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Creator,approved,21,233,9.01%,4.35,91.43,1.2,39148545457,3,#N/A,#N/A,1.29%,14.29%,#N/A,#N/A,#N/A
enabled,Newsletter Sign Up Forms,Sign Up Readers For Your Blog or,Newsletter w/ DIY Sign Up Forms.,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - CA,Newsletter Sign Up Form,approved,4,145,2.76%,3.8,15.18,1.3,40497404377,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Create Emails w/ Ease. Drag & Drop,Creator. Looks Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Exact,approved,0,1,0.00%,0,0,8,39149615617,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Start Email Marketing $0,Trusted by 600k+ for Targeted Email,Marketing Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Marketing Advertising,approved,3,14,21.43%,20.54,61.61,2.6,39148116097,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Email Newsletter Creator,Create Emails w/ Ease. Drag & Drop,Creator. Looks Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Newsletter Creator - Free,approved,1,9,11.11%,7.69,7.69,1.9,39148338337,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Reliable Email Delivery,Trusted by 600k+ for Reliable Email,Delivery Since 2001. Use Us Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Delivery,approved,10,1225,0.82%,1.6,16,2.6,39148933657,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Unbelievably Simple Email Marketing,Send Email to your List in Minutes!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Exact,approved,0,1,0.00%,0,0,5,39149615257,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send & Track Emails,Trusted by 600k+ for Reliable Email,Marketing Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email - Send - Nonbrand - Phrase,approved,8,645,1.24%,1.68,13.47,1.7,39148951177,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,{KeyWord:Free Email Marketing},Email Marketing Gets Results. Drag,& Drop Email Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Marketing Blast Company,approved,0,1,0.00%,0,0,7,39147806497,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Quickly Create Professional Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Exact,approved,0,1,0.00%,0,0,11,39149615977,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Mass Email Blast Company,Send Mass Email Blasts to your List,all at once. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Blast Company - Mass,approved,0,0,0.00%,0,0,0,39148850497,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Start an Email Campaign,"Design, Send & Track Bulk Email",Campaigns. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Campaign - Cheap,approved,0,5,0.00%,0,0,2.8,39147911497,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Reach New Customers with Email &,Social. It's Free and Easy to Use!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Exact,approved,0,0,0.00%,0,0,0,39149615857,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Email Blast Template,No Contracts. Free Drag & Drop Mass,Email Blast Templates. Try Us!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Blast - Template,approved,23,472,4.87%,11.46,263.69,1.8,39147758377,5,#N/A,#N/A,,21.74%,#N/A,#N/A,#N/A
enabled,Send eBlasts Free,"Design, Send & Track Bulk Email",Blasts. Easy to Use and It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,eBlast,approved,67,6553,1.02%,7.1,475.7,3.6,39148000777,12,1,1,,17.91%,1.49%,8.33%,100.00%
enabled,Try Email Marketing Free,Email Marketing Gets Results. See,How it Increases ROI - Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Free,approved,0,32,0.00%,0,0,3,39301764697,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send Free Bulk Newsletter,Trusted by 600k+ for Bulk Email,Newsletters Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Newsletter - Bulk - Free,approved,0,0,0.00%,0,0,0,39301367857,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Best Free Email Templates,Create Impressive Email Newsletters,in Minutes. Free Template Designs!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Template - Best,approved,9,80,11.25%,1.23,11.1,1.8,39148811737,2,#N/A,#N/A,2.50%,22.22%,#N/A,#N/A,#N/A
enabled,Free Bulk Email Marketing,Reach New Customers w/ Bulk Email &,Social. It's Free and Easy to Use!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Marketing - Bulk - Free,approved,0,1,0.00%,0,0,2,39149310577,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Send Newsletter Campaigns,Create and Send Email Newsletter,Campaigns. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Newsletter Campaign,approved,5,316,1.58%,8.62,43.09,2.6,39294376057,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Free Newsletter Reporting,Track & Manage the Success of Your,Newsletter Efforts. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Newsletter Reporting,approved,10,566,1.77%,2.51,25.06,2.2,39294372217,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Free Newsletter Templates,Create Impressive Email Newsletters,in Minutes. Free Template Designs!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,eNewsletter Template - Cheap,approved,0,0,0.00%,0,0,0,39301351417,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Start Email Marketing $0,Email Marketing Gets Results. Drag,& Drop Email Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Marketing Advertising,approved,0,14,0.00%,0,0,2.9,39148115977,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Manage eNewsletters Free,Grow Your Biz w/ Email Management,& Helpful Reporting & Statistics!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,eNewsletter Management,approved,0,17,0.00%,0,0,1.9,39294394777,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,"Create, Send & Track Mass Email",Campaigns & Newsletters. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Free,approved,5,141,3.55%,7.46,37.32,4.7,39301764457,2,#N/A,#N/A,1.42%,40.00%,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,Email Newsletters Get Results. No,Contracts. Free Templates. Try Us!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Newsletter,approved,4,351,1.14%,9.52,38.09,2.5,39148169857,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Unbelievably Simple Email Marketing,Send Email to your List in Minutes!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Free,approved,2,164,1.22%,9.32,18.63,2.7,39301765177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send Newsletters Free,Email Newsletters Get Results. No,Contracts. Free Templates. Try Us!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Newsletter Marketing - Free,approved,0,3,0.00%,0,0,3.3,39301527817,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send Mass Email Free,Create Emails w/ Ease. Drag & Drop,Creator. Looks Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email - Mass - Business,approved,2,60,3.33%,19.99,39.98,2.6,39147876937,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Monthly Email Newsletter,Create and Send Bulk Monthly Email,Campaigns & Newsletters. Use Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Newsletter - Time - Monthly,approved,8,175,4.57%,5.96,47.64,2,39147906337,1,#N/A,#N/A,,12.50%,#N/A,#N/A,#N/A
enabled,Free Email Advertising,Quickly Create Professional Emails.,Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Advertising,approved,55,1224,4.49%,3.86,212.06,1.7,39148747537,9,1,#N/A,0.74%,16.36%,#N/A,11.11%,#N/A
enabled,Try Email Marketing Free,Quickly Create Professional Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Free,approved,0,38,0.00%,0,0,2.7,39301764817,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,Email Newsletters Get Results. No,Contracts. Free Templates. Try Us!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Newsletters - Nonbrand - Broad Mod,approved,1,33,3.03%,15.81,15.81,2,39148280257,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Reach New Customers with Email &,Social. It's Free and Easy to Use!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Free,approved,4,89,4.49%,13.79,55.16,3.6,39301764937,1,1,#N/A,1.12%,25.00%,#N/A,100.00%,#N/A
enabled,Free {KeyWord:Email Marketing},Create Emails w/ Ease. Drag & Drop,Creator. Looks Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Marketing - Direct,approved,0,2,0.00%,0,0,3.5,39149100217,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Send Mass Newsletters,"Design, Send & Track your Mass",HTML Email & Newsletters. Use Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Newsletter - Mass - Free,approved,0,0,0.00%,0,0,0,39301576657,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Email Marketing Gets Results. See,How it Increases ROI - Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Marketing,approved,69,1900,3.63%,16.66,1149.56,1.4,39148481617,16,2,#N/A,0.84%,23.19%,#N/A,12.50%,#N/A
enabled,Free Email Reporting,Free Email Marketing Software,w/ Helpful Reporting & Statistics!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Reporting - Free,approved,1,20,5.00%,0.69,0.69,1.6,39301711537,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Free Bulk Email Sender,Create & Send Bulk Email Campaigns.,Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Sender - Bulk,approved,20,251,7.97%,5.79,115.74,1.3,39301533937,7,1,#N/A,2.79%,35.00%,#N/A,14.29%,#N/A
enabled,Free Sign Up Form Creator,Quickest & Easiest Way to Create,Website Sign Up Forms. Try Free!,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - CA,Website Sign Up Form - Create - How To,approved,0,0,0.00%,0,0,0,40497425857,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,VerticalResponseå¨,Grow your Small Business with Email,Marketing from VerticalResponseå¨.,www.VerticalResponse.com,http://www.verticalresponse.com,VR Branded - CA,VerticalResponse - Misspellings,approved,31,91,34.07%,0.76,23.61,1,39147496297,1,#N/A,#N/A,,3.23%,#N/A,#N/A,#N/A
enabled,Free Email Ad Software,Quickly Create Advertising Emails.,Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Advertising Software,approved,0,5,0.00%,0,0,1,39148182937,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Email Blast Promotion,Create and Send Bulk Email Blast,Campaigns & Promotions. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Blast Promotion,approved,0,7,0.00%,0,0,1.1,39148254697,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Trusted by 600k+ for Reliable Email,Marketing Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Free,approved,1,62,1.61%,10.71,10.71,3,39301765057,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free eNewsletter Software,Trusted by 600k+ for Engaging Email,Newsletters Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,eNewsletter Software,approved,1,30,3.33%,9.79,9.79,2.2,39301614217,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Send Email Blast Campaign,Send Bulk Email Blasts to your List,all at once. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Blast Campaign,approved,0,8,0.00%,0,0,3.1,39149130817,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
enabled,Sign Up Form Generator,Easily Capture Web Leads w/ Free,Customizable Sign Up Forms. Try Us!,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - ROW,Website Sign Up Form Generator,approved,0,0,0.00%,0,0,0,40497399217,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Email Sender,Send Emails w/ Ease. Drag & Drop,Templates Look Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Sender - Free,approved,9,78,11.54%,1.59,14.33,1.6,39301586617,2,#N/A,#N/A,2.56%,22.22%,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Email Marketing Gets Results. Drag,& Drop Email Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email Marketing - Free,approved,13,488,2.66%,6.33,82.25,4.3,39301764577,1,#N/A,#N/A,0.20%,7.69%,#N/A,#N/A,#N/A
enabled,Monthly Email Newsletter,Email Newsletters Get Results. No,Contracts. Free Templates. Try Us!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Newsletter - Time - Monthly,approved,3,171,1.75%,12.33,36.99,2.1,39147906577,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
